iter	Passed	Remaining
0	151	150979
1	156	78139
2	161	53785
3	166	41576
4	170	33947
5	172	28611
6	174	24801
7	176	21942
8	179	19718
9	181	17934
10	184	16544
11	186	15324
12	188	14290
13	190	13402
14	192	12633
15	194	11958
16	196	11364
17	198	10851
18	200	10374
19	202	9944
20	204	9555
21	207	9203
22	209	8879
23	211	8587
24	213	8316
25	215	8067
26	217	7832
27	219	7614
28	221	7409
29	223	7221
30	225	7047
31	227	6880
32	229	6725
33	231	6577
34	233	6437
35	235	6305
36	237	6180
37	239	6072
38	241	5959
39	243	5852
40	245	5749
41	247	5652
42	249	5559
43	251	5469
44	254	5391
45	256	5310
46	258	5231
47	260	5162
48	262	5093
49	264	5026
50	266	4963
51	268	4899
52	270	4836
53	272	4776
54	274	4718
55	276	4662
56	278	4607
57	280	4556
58	282	4505
59	284	4456
60	286	4408
61	288	4362
62	290	4317
63	292	4274
64	294	4234
65	296	4199
66	298	4160
67	299	4108
68	301	4071
69	303	4034
70	305	3999
71	307	3967
72	309	3934
73	311	3901
74	313	3869
75	315	3838
76	317	3807
77	319	3777
78	321	3751
79	323	3723
80	325	3695
81	327	3668
82	329	3641
83	331	3615
84	332	3582
85	334	3558
86	336	3529
87	338	3508
88	340	3485
89	342	3462
90	344	3440
91	346	3419
92	348	3398
93	350	3377
94	352	3357
95	354	3336
96	357	3323
97	358	3304
98	360	3285
99	363	3272
100	365	3254
101	366	3227
102	368	3209
103	370	3191
104	372	3174
105	374	3158
106	376	3145
107	379	3131
108	381	3118
109	383	3106
110	403	3231
111	408	3237
112	410	3224
113	413	3210
114	415	3200
115	417	3184
116	420	3173
117	423	3169
118	425	3152
119	440	3229
120	442	3216
121	460	3317
122	462	3294
123	464	3280
124	466	3266
125	469	3254
126	471	3241
127	473	3223
128	475	3210
129	477	3198
130	480	3185
131	483	3179
132	486	3170
133	491	3176
134	494	3170
135	497	3159
136	499	3147
137	503	3145
138	505	3133
139	508	3124
140	511	3113
141	513	3104
142	516	3094
143	518	3083
144	521	3074
145	523	3063
146	526	3053
147	528	3042
148	530	3031
149	533	3021
150	540	3041
151	543	3030
152	545	3020
153	548	3010
154	550	3000
155	552	2990
156	555	2980
157	557	2970
158	559	2960
159	561	2950
160	564	2940
161	566	2930
162	568	2921
163	571	2912
164	577	2920
165	580	2914
166	582	2905
167	584	2896
168	587	2887
169	589	2878
170	591	2869
171	594	2860
172	596	2852
173	598	2843
174	601	2834
175	603	2826
176	605	2817
177	608	2809
178	631	2895
179	634	2892
180	636	2879
181	639	2875
182	642	2867
183	644	2859
184	647	2850
185	649	2841
186	651	2833
187	654	2827
188	657	2819
189	659	2811
190	661	2802
191	663	2794
192	666	2786
193	681	2832
194	688	2844
195	693	2843
196	695	2835
197	698	2828
198	701	2822
199	703	2814
200	706	2809
201	709	2802
202	711	2794
203	716	2797
204	721	2799
205	724	2793
206	727	2785
207	730	2780
208	732	2773
209	735	2767
210	738	2759
211	740	2752
212	742	2745
213	746	2742
214	749	2735
215	751	2728
216	754	2720
217	758	2722
218	761	2715
219	763	2708
220	766	2701
221	769	2697
222	772	2690
223	774	2683
224	776	2675
225	779	2668
226	781	2661
227	783	2653
228	788	2655
229	791	2648
230	793	2641
231	795	2634
232	798	2627
233	800	2621
234	803	2615
235	807	2613
236	809	2606
237	813	2603
238	825	2629
239	828	2622
240	830	2615
241	832	2608
242	834	2601
243	837	2594
244	839	2587
245	841	2580
246	845	2576
247	847	2569
248	849	2562
249	851	2555
250	854	2548
251	856	2542
252	858	2535
253	861	2530
254	864	2525
255	866	2519
256	869	2513
257	871	2507
258	874	2501
259	878	2498
260	884	2503
261	889	2506
262	892	2500
263	894	2494
264	897	2488
265	899	2482
266	902	2478
267	904	2471
268	907	2466
269	909	2459
270	912	2454
271	914	2448
272	917	2444
273	919	2437
274	921	2430
275	923	2423
276	925	2416
277	927	2409
278	929	2402
279	932	2396
280	934	2390
281	936	2383
282	938	2376
283	940	2370
284	942	2363
285	944	2357
286	946	2351
287	948	2344
288	950	2337
289	952	2331
290	954	2324
291	956	2318
292	958	2313
293	960	2307
294	962	2300
295	964	2294
