iter	Passed	Remaining
0	139	139079
1	141	70716
2	144	47932
3	147	36642
4	150	29870
5	152	25273
6	155	21994
7	157	19530
8	159	17610
9	166	16460
10	168	15170
11	171	14095
12	173	13183
13	176	12434
14	180	11822
15	182	11245
16	185	10714
17	187	10241
18	190	9838
19	192	9456
20	195	9111
21	197	8796
22	200	8508
23	202	8243
24	206	8036
25	208	7809
26	210	7599
27	213	7409
28	216	7233
29	218	7072
30	221	6913
31	223	6763
32	226	6623
33	228	6491
34	230	6368
35	235	6312
36	238	6199
37	240	6091
38	243	5989
39	246	5927
40	249	5841
41	253	5791
42	257	5722
43	259	5640
44	262	5560
45	265	5507
46	269	5472
47	274	5450
48	277	5381
49	279	5315
50	282	5251
51	284	5192
52	287	5132
53	289	5075
54	292	5019
55	294	4965
56	296	4913
57	299	4866
58	303	4848
59	308	4831
60	316	4878
61	319	4831
62	322	4796
63	324	4752
64	327	4713
65	332	4707
66	336	4685
67	349	4788
68	352	4752
69	354	4711
70	361	4729
71	363	4689
72	366	4651
73	368	4613
74	371	4577
75	377	4585
76	379	4549
77	381	4515
78	384	4481
79	386	4448
80	392	4458
81	395	4426
82	396	4381
83	399	4351
84	401	4322
85	408	4338
86	410	4309
87	413	4285
88	415	4257
89	422	4267
90	424	4240
91	481	4753
92	490	4780
93	496	4788
94	503	4795
95	508	4787
96	513	4775
97	518	4774
98	528	4806
99	530	4774
100	535	4767
101	538	4737
102	542	4725
103	545	4695
104	550	4691
105	552	4662
106	555	4634
107	557	4606
108	560	4578
109	566	4583
110	569	4557
111	571	4530
112	584	4584
113	586	4557
114	590	4541
115	592	4517
116	598	4519
117	604	4516
118	606	4490
119	608	4465
120	613	4457
121	615	4429
122	617	4406
123	620	4382
124	622	4359
125	627	4355
126	630	4336
127	633	4314
128	635	4292
129	638	4271
130	643	4267
131	645	4246
132	648	4226
133	650	4206
134	653	4184
135	655	4163
136	660	4160
137	662	4138
138	664	4117
139	666	4097
140	669	4076
141	674	4074
142	676	4056
143	679	4038
144	681	4019
145	700	4100
146	711	4130
147	715	4116
148	717	4098
149	723	4099
150	725	4079
151	727	4059
152	729	4039
153	731	4019
154	734	4001
155	736	3983
156	738	3964
157	740	3945
158	742	3927
159	744	3908
160	749	3904
161	751	3886
162	753	3868
163	755	3850
164	757	3833
165	759	3815
166	767	3829
167	770	3814
168	772	3799
169	774	3782
170	782	3793
171	784	3778
172	787	3764
173	790	3750
174	807	3808
175	810	3793
176	812	3777
177	814	3760
178	816	3744
179	818	3729
180	824	3730
181	826	3714
182	828	3698
183	830	3683
184	833	3670
185	838	3669
186	840	3654
187	842	3639
